Number,MainVerb,VerbCompliment,ControlNumber,PatternNumber
3539,steam,away,25%61,1
3540,steam,off,12%40,15
3541,steam,up,22%107,1
3542,steam,up,22%108,2%6
3543,steam,up,32%110,23
3544,steep,in,33%33,23
3545,steer,away from,9%43,5
3546,stem,from,20%24,3
3547,step,aside,2%95,1
3548,step,aside,24%4,1
3549,step,back,2%98,1
3550,step,back,26%12,1
3551,step,back,26%13,1
3552,step,down,24%13,1
3553,step,forward,2%114,1
3554,step,in,14%26,1
3555,step,into,30%66,3
3556,step,on it,17%6,33
3557,step,up,17%88,2%4
3558,stick,at,25%29,3
3559,stick,at,25%30,3
3560,stick,back,26%29,4
3561,stick,by,5%47,3
3562,stick,by,27%71,3
3563,stick,down,15%53,2%4
3564,stick,down,21%1,2%4
3565,stick,in,14%112,15
3566,stick,in,14%113,15
3567,stick,in,14%114,8
3568,stick,in,21%16,5
3569,stick,in,21%17,2
3570,stick,on,18%84,2%4
3571,stick,on,12%85,3
3572,stick,on,12%86,8
3573,stick,on,27%214,23
3574,stick,out,13%127,2%4
3575,stick,out,13%128,1
3576,stick,out,19%17,1
3577,stick,out,24%118,4
3578,stick,out for,25%139,3
3579,stick,to,21%43,3
3580,stick,to,21%44,3
3581,stick,to,27%360,3
3582,stick,together,29%49,2%4
3583,stick,together,29%50,1
3584,stick,together,30%98,1
3585,stick,up,16%24,1
3586,stick,up,21%100,2%4
3587,stick,up,22%92,2%18
3588,stick,up for,30%115,3
3589,stick,with,25%211,3
3590,stick,with,28%124,23
3591,stick,with,30%162,3
3592,stick,with,30%163,3
3593,stir,up,16%44,2%4
3594,stir,up,16%45,2%4
3595,stitch,up,21%58,2%4
3596,stock,up,29%66,1
3597,stoke,up,17%57,2%4
3598,stoke,up,17%79,2%4
3599,stop,at,25%32,14
3600,stop,behind,5%32,1
3601,stop,by,3%12,1
3602,stop,in,3%21,1
3603,stop,in,5%51,1
3604,stop,off,24%56,1
3605,stop,over,3%64,1
3606,stop,up,21%70,2%4
3607,store,away,29%3,2%4
3608,store,up,29%65,2%4
3609,storm,in,14%29,1
3610,storm,into,14%166,3
3611,storm,off,4%63,1
3612,storm,out,13%44,1
3613,stow,away,29%4,2%4
3614,stow,away,29%5,1
3615,straighten,out,24%94,2%4
3616,straighten,up,1%81,1
3617,strain,at,27%59,3
3618,strain,off,31%139,2%4
3619,strap,in,21%11,2%4
3620,strap,into,21%20,5
3621,strap,on,21%32,2%4
3622,strap,up,21%50,2%4
3623,stretch,away,25%40,1
3624,stretch,out,1%49,1
3625,stretch,out,1%50,7
3626,stretch,out,27%308,2%4
3627,strike,at,7%25,3
3628,strike,back,7%36,1
3629,strike,down,15%84,2%4
3630,strike,down with,15%134,23
3631,strike,off,31%114,15%2
3632,strike,on,6%25,3
3633,strike,out,4%109,1
3634,strike,out,7%68,1
3635,strike,out,23%66,1
3636,strike,out,31%232,2%4
3637,strike,up,23%83,9
3638,string,along,10%6,4
3639,string,along,30%6,1
3640,string,out,28%90,2%4
3641,string,together,29%48,2%4
3642,string,up,21%107,2%4
3643,string,up,21%108,2%4
3644,string,up,32%109,23
3645,strip,away,31%39,2%4
3646,strip,away,31%40,2%4
3647,strip,down,18%74,2%4
3648,strip,of,31%106,5
3649,strip,off,12%36,2%4
3650,strip,out,13%104,2%4
3651,struggle,on,25%72,1
3652,stub,out,24%80,2%4
3653,stumble,across,6%3,3
3654,stumble,on,6%23,3
3655,subject,to,27%361,5
3656,subscribe,to,27%353,3
3657,suck,off,24%39,2%4
3658,suck,up,10%71,1
3659,sum,up,24%172,9%4
3660,summon,up,17%56,2%6
3661,surge,up,17%59,1
3662,suss,out,27%298,2%4
3663,swab,down,12%16,2%4
3664,swab,out,13%105,2%4
3665,swallow,down,15%70,2%4
3666,swallow,up,31%311,23
3667,swallow,up,31%312,4
3668,swap,over,32%85,2%4
3669,swop,over,32%85,2%4
3670,swear,by,27%70,3
3671,swear,in,14%104,2%4
3672,swear,off,9%78,3
3673,sweat,off,18%103,2%4
3674,sweat,off,18%104,2%6
3675,sweat,out,28%57,2%6
3676,sweat,out,25%121,2%18%24
3677,sweat,over,27%327,3
3678,sweep,aside,9%9,2%4
3679,sweep,away,31%50,2%4
3680,sweep,away,31%61,2%4
3681,sweep,away,32%10,23
3682,sweep,out,13%95,2%4
3683,sweep,out,13%96,2%4
3684,sweep,up,16%62,2%4
3685,sweep,up in,30%120,23
3686,sweeten,up,10%69,2%4
3687,swell,up,17%46,1
3688,swell,up,17%47,1
3689,swell,up,7%48,3
3690,swill,down,15%71,2%6
3691,swing,around,1%5,1
3692,switch,around,2%84,2%4
3693,switch,off,24%63,2%4
3694,switch,off,32%42,1
3695,switch,on,23%60,2%4
3696,switch,over,32%83,1
3697,switch,over,32%84,1
3698,swivel,around,1%8,1
3699,swoop,down,15%20,1
3700,swot,up,17%139,2%6
3701,sympathise,with,30%131,3
3702,sympathize,with,30%131,3
3703,tack,down,21%2,2%4
3704,tack,up,21%38,2%4
3705,tack,up,21%103,2%4
3706,tag,along,30%5,1
3707,tag,on,21%39,2%4
3708,tail,away,18%3,1
3709,tail,back,26%10,1
3710,tail,off,18%92,1
3711,take,aback,32%1,23
3712,take,after,33%1,3
3713,take,against,27%18,3
3714,take,along,30%7,2%4
3715,take,apart,31%4,2%4
3716,take,around,3%7,15
3717,take,aside,31%17,2%4
3718,take,away,18%15,2%4
3719,take,away,31%29,2%4
3720,take,away,31%30,2%4
3721,take,away,31%31,4
3722,take,away,31%32,18
3723,take,away,31%33,2%4
3724,take,away,32%8,18
3725,take,away from,18%17,3
3726,take,back,26%26,2%4
3727,take,back,26%40,4
3728,take,back,26%41,4
3729,take,back,26%57,2%4
3730,take,down,15%24,2%4
3731,take,down,15%25,2%4
3732,take,down,15%50,2%4
3733,take,in,14%68,2
3734,take,in,14%69,2%4
3735,take,in,14%70,2%4
3736,take,in,14%71,2%4
3737,take,in,14%72,2%4
3738,take,in,14%73,4
3739,take,in,14%74,4
3740,take,in,14%75,2%4
3741,take,in,14%76,2%4
3742,take,in,14%77,2%4
3743,take,in,14%78,2%4
3744,take,in,21%19,2%4
3745,take,in,32%12,4
3746,take,into,14%197,5
3747,take,into,14%198,16
3748,take,into,30%55,5
3749,take,it out on,27%313,5%3
3750,take,off,4%59,1
3751,take,off,4%83,20
3752,take,off,5%63,18
3753,take,off,12%49,15%2
3754,take,off,12%61,2%4
3755,take,off,24%67,2%4
3756,take,off,24%68,2%4
3757,take,off,31%118,15
3758,take,off,31%176,5
3759,take,off,31%177,5
3760,take,off,31%178,5
3761,take,off,33%51,2%4
3762,take,on,23%52,2%4
3763,take,on,23%53,31
3764,take,on,23%54,36
3765,take,on,27%205,2%4
3766,take,out,13%27,2%4
3767,take,out,13%38,2%6
3768,take,out,13%119,2%4
