Number,MainVerb,VerbCompliment,ControlNumber,PatternNumber
4216,whip,up,17%60,2%4
4217,whip,up,17%61,1
4218,whip,up,17%62,2%6
4219,whip,up,22%44,2%6
4220,whip,up,22%76,2%4
4221,whisk,away,31%45,2%4
4222,whittle,away,18%13,2%4
4223,whittle,down,18%31,2%4
4224,whoop,up,17%107,24
4225,win,around,10%9,4
4226,win,back,26%51,2%4
4227,win,out,25%138,1
4228,win,over,10%67,2%4
4229,win,through,25%191,8
4230,wind,back,26%27,2%4
4231,wind,down,15%30,2%4
4232,wind,down,18%85,1
4233,wind,down,18%86,1
4234,wind,down,18%87,1
4235,wind,down,18%88,2%4
4236,wind,forward,2%111,2%4
4237,wind,on,25%117,2%4
4238,wind,up,16%48,2%4
4239,wind,up,17%63,2%4
4240,wind,up,17%64,4
4241,wind,up,21%78,2%4
4242,wind,up,24%156,2%4
4243,wind,up,24%157,2%6
4244,wind,up,24%190,1
4245,wipe,away,31%35,2%4
4246,wipe,down,12%14,2%4
4247,wipe,down,12%15,9%4
4248,wipe,off,12%28,2%4
4249,wipe,off,12%29,15%2
4250,wipe,out,13%106,2%4
4251,wipe,out,31%262,2%4
4252,wipe,up,22%111,2%4
4253,wise,up,32%103,1
4254,wish,away,9%23,2%4
4255,wish,on,27%266,5
4256,wither,away,18%11,1
4257,wither,away,18%12,1
4258,wolf,down,15%66,2%4
4259,wonder,at,27%38,3
4260,work,at,27%40,3
4261,work,away,25%41,1
4262,work,in,14%100,2%4
4263,work,in,14%101,2%4
4264,work,in,14%102,2%4
4265,work,in,14%103,2%4
4266,work,off,18%101,2%4
4267,work,off,18%102,2%6
4268,work,on,10%43,3
4269,work,on,25%74,3
4270,work,out,24%132,2%4
4271,work,out,24%133,2%4
4272,work,out,24%134,1
4273,work,out,24%135,7
4274,work,out,24%136,4
4275,work,out,24%137,1
4276,work,over,25%148,2%4
4277,work,through,25%160,3
4278,work,towards,27%376,3
4279,work,under,8%67,3
4280,work,up,17%53,2
4281,work,up,17%54,7
4282,work,up,17%55,7
4283,work,up,24%175,2%4
4284,worm,out,10%55,4
4285,worry,at,7%28,3
4286,worry,at,27%42,3
4287,wrap,up,21%95,2%4
4288,wrap,up,21%96,20
4289,wrap,up,21%97,2%4
4290,wrap,up,24%178,1
4291,wrap,up,24%179,1
4292,wrap,up in,30%121,23
4293,wrap,up in,30%122,23
4294,wrestle,with,30%152,3
4295,wriggle,out of,9%102,3
4296,wring,out,10%56,2%4
4297,wring,out,13%115,2%4
4298,write,away,31%47,1
4299,write,back,26%65,1
4300,write,down,15%47,2%4
4301,write,in,14%108,2%4
4302,write,in,14%109,2%4
4303,write,in,14%110,1
4304,write,into,14%208,5
4305,write,off,31%159,2%4
4306,write,off,31%160,2%4
4307,write,out,20%124,2%4
4308,write,out,24%124,2%4
4309,write,out,31%235,23
4310,write,up,22%137,16
4311,write,up,14%173,5
4312,yearn,for,27%81,3
4313,yell,out,20%66,9%4
4314,yield,to,8%63,3
4315,yield,to,8%64,3
4316,yield,up,20%150,2%4
4317,zero,in on,27%178,3
4318,zip,up,21%62,4
4319,zip,up,21%63,2%4
4320,zoom,in on,27%177,3
4321,zoom,off,4%56,1
#,,,,
